8,127,0.0003089429382091973
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
9,25,0
9,26,0
9,27,0
9,28,0
9,29,0
9,30,0
9,31,0
9,32,0
9,33,0
9,34,0
9,35,0
9,36,0
9,37,0
9,38,0
9,39,0
9,40,0
9,41,0
9,42,0
9,43,0
9,44,0
9,45,0
9,46,0
9,47,0
9,48,0
9,49,0
9,50,0
9,51,0
9,52,0
9,53,0
9,54,0
9,55,0
9,56,0
9,57,0
9,58,0
9,59,0
9,60,0
9,61,0
9,62,0
9,63,0
9,64,0
9,65,0
9,66,0
9,67,0
9,68,0
9,69,0.0005892568332455151
9,70,0.0007740461642433624
9,71,0.0010070289624228377
9,72,0.0012975341427874634
9,73,0.0016557195858771761
9,74,0.0020923574382149925
9,75,0.002618523619245937
9,76,0.0032451855047822445
9,77,0.003982688042445141
9,78,0.0048401465065673905
9,79,0.0058247633641194535
9,80,0.006941096709061369
9,81,0.008190317615858034
9,82,0.00956950257022843
9,83,0.01107101376228645
9,84,0.012682023388083746
9,85,0.014384237253182606
9,86,0.01615386723678647
9,87,0.01796189129369512
9,88,0.019774623885388094
9,89,0.021554599837756556
9,90,0.023261751961465578
9,91,0.024854839142303582
9,92,0.026293059123568937
9,93,0.027537761073421825
9,94,0.028554159330731074
9,95,0.029312943140063427
9,96,0.029791678799719355
9,97,0.02997591076659244
9,98,0.029859886351282085
9,99,0.029446853332942526
9,100,0.02874890905741909
9,101,0.027786410791041192
9,102,0.02658698750150034
9,103,0.025184220123636997
9,104,0.023616078413477844
9,105,0.021923215991059102
9,106,0.020147230202863676
9,107,0.018328989939370925
9,108,0.016507123291446935
9,109,0.014716739391860979
9,110,0.012988436937728116
9,111,0.011347627956752782
9,112,0.009814181598980917
9,113,0.008402371111265865
9,114,0.007121089274824194
9,115,0.005974284515492117
9,116,0.004961562111871744
9,117,0.004078892355161015
9,118,0.00331936961197119
9,119,0.0026739721160865073
9,120,0.002132280870609516
9,121,0.0016831261203705571
9,122,0.0013151403623598153
9,123,0.0010172068672030165
9,124,0.000778801478645797
9,125,0.0005902325814291603
9,126,0.0004427893653701412
9,127,0.0003288118627219855
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
10,21,0
10,22,0
10,23,0
10,24,0
10,25,0
10,26,0
10,27,0
10,28,0
10,29,0
10,30,0
10,31,0
10,32,0
10,33,0
10,34,0
10,35,0
10,36,0
10,37,0
10,38,0
10,39,0
10,40,0
10,41,0
10,42,0
10,43,0
10,44,0
10,45,0
10,46,0
10,47,0
10,48,0
10,49,0
10,50,0
10,51,0
10,52,0
10,53,0
10,54,0
10,55,0
10,56,0
10,57,0
10,58,0
10,59,0
10,60,0
10,61,0
10,62,0
10,63,0
10,64,0
10,65,0
10,66,0
10,67,0
10,68,0.00053117123581292
10,69,0.0007020353976660183
10,70,0.0009190613885090393
10,71,0.001191730664723712
10,72,0.0015305498013602123
10,73,0.001946887470587269
10,74,0.0024527151393166015
10,75,0.0030602409752473565
10,76,0.003781431784067974
10,77,0.004627425077233133
10,78,0.005607842394492387
10,79,0.006730025338144702
10,80,0.007998226721163465
10,81,0.009412799857801397
10,82,0.01096943822252308
10,83,0.012658524273459747
10,84,0.014464649019014312
10,85,0.016366361921058906
10,86,0.018336203326491243
10,87,0.020341058617293843
10,88,0.022342855047941215
10,89,0.024299599784596067
10,90,0.026166732538189647
10,91,0.027898740432824327
10,92,0.029450958709379672
10,93,0.03078146093305915
10,94,0.03185292875189509
10,95,0.032634385671888436
10,96,0.03310268280615953
10,97,0.03324363729344591
10,98,0.033052745312790385
10,99,0.03253541970996294
10,100,0.03170673482747893
10,101,0.030590695333898167
10,102,0.029219078634587024
10,103,0.027629928916224008
10,104,0.025865802590456934
10,105,0.02397187813158905
10,106,0.02199404720245827
10,107,0.019977098624083898
10,108,0.01796309314663133
10,109,0.01599000683401453
10,110,0.014090696400489999
10,111,0.01229221348977961
10,112,0.010615469081391785
10,113,0.009075226074568891
10,114,0.007680379290407079
10,115,0.00643446870581159
10,116,0.005336364116302796
10,117,0.0043810574515753984
10,118,0.003560501975788475
10,119,0.002864444574817161
10,120,0.00228120704676095
10,121,0.0017983835063369172
10,122,0.0014034325130562052
10,123,0.0010841533506801434
10,124,0.0008290452852798199
10,125,0.0006275561488116448
10,126,0.0004702320349720809
10,127,0.000348783281328811
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,0
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
11,20,0
11,21,0
11,22,0
11,23,0
11,24,0
11,25,0
11,26,0
11,27,0
11,28,0
11,29,0
11,30,0
11,31,0
11,32,0
11,33,0
11,34,0
11,35,0
11,36,0
11,37,0
11,38,0
11,39,0
11,40,0
11,41,0
11,42,0
11,43,0
11,44,0
11,45,0
11,46,0
11,47,0
11,48,0
11,49,0
11,50,0
11,51,0
11,52,0
11,53,0
11,54,0
11,55,0
11,56,0
11,57,0
11,58,0
11,59,0
11,60,0
11,61,0
11,62,0
11,63,0
11,64,0
11,65,0
11,66,0
11,67,0
11,68,0.0006353954242222702
11,69,0.0008367885254971276
11,70,0.0010916543411464133
11,71,0.0014107114101614855
11,72,0.0018057653373616327
11,73,0.002289505511366955
11,74,0.0028751935263612105
11,75,0.0035762330684311165
11,76,0.004405617330844282
